label,i_max,t_max,threads,time_sec,normalized
results_test_guided1k,1000000,8192,12,1.654550,2.019714355e-10
results_test_guided1k,1000000,8192,14,1.440440,1.758349609e-10
results_test_guided1k,1000000,8192,16,1.190980,1.453833008e-10
results_test_guided1k,1000000,8192,32,1.153080,1.407568359e-10
results_test_guided1k,5000000,1024,1,10.593300,2.069003906e-09
results_test_guided1k,5000000,1024,2,5.554990,1.084958984e-09
results_test_guided1k,5000000,1024,4,4.028970,7.869082031e-10
results_test_guided1k,5000000,1024,6,3.746920,7.318203125e-10
results_test_guided1k,5000000,1024,8,3.789910,7.402167969e-10
results_test_guided1k,5000000,1024,12,8.548990,1.669724609e-09
results_test_guided1k,5000000,1024,14,8.016090,1.565642578e-09
results_test_guided1k,5000000,1024,16,8.775660,1.713996094e-09
results_test_guided1k,5000000,1024,32,6.920810,1.351720703e-09
results_test_guided1k,10000000,512,1,10.602700,2.070839844e-09
results_test_guided1k,10000000,512,2,5.803820,1.133558594e-09
results_test_guided1k,10000000,512,4,3.884990,7.587871094e-10
results_test_guided1k,10000000,512,6,3.693880,7.214609375e-10
results_test_guided1k,10000000,512,8,3.717380,7.260507813e-10
results_test_guided1k,10000000,512,12,6.586620,1.286449219e-09
results_test_guided1k,10000000,512,14,6.579640,1.285085938e-09
results_test_guided1k,10000000,512,16,6.568000,1.282812500e-09
results_test_guided1k,10000000,512,32,7.640070,1.492201172e-09
results_test_guided1k,50000000,256,1,29.363600,2.294031250e-09
results_test_guided1k,50000000,256,2,16.032500,1.252539063e-09
results_test_guided1k,50000000,256,4,10.065200,7.863437500e-10
results_test_guided1k,50000000,256,6,9.150640,7.148937500e-10
results_test_guided1k,50000000,256,8,8.996250,7.028320312e-10
results_test_guided1k,50000000,256,12,9.954970,7.777320312e-10
results_test_guided1k,50000000,256,14,10.814800,8.449062500e-10
results_test_guided1k,50000000,256,16,11.103700,8.674765625e-10
results_test_guided1k,50000000,256,32,10.807300,8.443203125e-10
results_test_guided1k,100000000,256,1,54.294700,2.120886719e-09
results_test_guided1k,100000000,256,2,31.005300,1.211144531e-09
results_test_guided1k,100000000,256,4,20.254600,7.911953125e-10
results_test_guided1k,100000000,256,6,18.311300,7.152851562e-10
results_test_guided1k,100000000,256,8,17.848000,6.971875000e-10
results_test_guided1k,100000000,256,12,18.504200,7.228203125e-10
results_test_guided1k,100000000,256,14,18.821600,7.352187500e-10
results_test_guided1k,100000000,256,16,19.983700,7.806132812e-10
results_test_guided1k,100000000,256,32,21.329200,8.331718750e-10
results_test_guided4k,1000,8388608,1,17.768500,2.118170261e-09
results_test_guided4k,1000,8388608,2,20.108200,2.397084236e-09
results_test_guided4k,1000,8388608,4,22.967100,2.737891674e-09
results_test_guided4k,1000,8388608,6,27.166700,3.238523006e-09
results_test_guided4k,1000,8388608,8,30.262200,3.607535362e-09
results_test_guided4k,1000,8388608,12,76.035200,9.064102173e-09
results_test_guided4k,1000,8388608,14,83.636000,9.970188141e-09
results_test_guided4k,1000,8388608,16,92.009800,1.096842289e-08
results_test_guided4k,1000,8388608,32,93.207500,1.111119986e-08
results_test_guided4k,10000,1048576,1,17.141500,1.634740829e-09
results_test_guided4k,10000,1048576,2,17.441100,1.663312912e-09
results_test_guided4k,10000,1048576,4,19.267600,1.837501526e-09
results_test_guided4k,10000,1048576,6,21.109300,2.013139725e-09
results_test_guided4k,10000,1048576,8,22.033200,2.101249695e-09
results_test_guided4k,10000,1048576,12,26.087600,2.487907410e-09
results_test_guided4k,10000,1048576,14,27.187200,2.592773437e-09
results_test_guided4k,10000,1048576,16,28.027400,2.672901154e-09
results_test_guided4k,10000,1048576,32,34.858300,3.324346542e-09
results_test_guided4k,50000,131072,1,10.618400,1.620239258e-09
results_test_guided4k,50000,131072,2,7.116280,1.085858154e-09
